old_url,old_path,new_url,status_code,title_old,title_new,old_word_count,new_word_count,old_line_count,matched_line_count,line_coverage,suggested_new_path,notes
https://www.mekorhabracha.org/,/,http://localhost:3001/,200,Mekor Habracha | Center City Synagogue | Philadelphia | Synagogue,Mekor Habracha | Center City Synagogue | Philadelphia | Synagogue,254,0,13,2,0.154,,Low copy coverage
https://www.mekorhabracha.org/about-5,/about-5,http://localhost:3001/about-5,200,Chazzan/Director of Operations | Mekor 3,Mekor Habracha | Center City Synagogue | Philadelphia | Synagogue,260,0,4,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/about-us,/about-us,http://localhost:3001/about-us,200,About Us | Mekor 3,About Us | Mekor Habracha,573,0,15,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/auxiliary-membership,/auxiliary-membership,http://localhost:3001/auxiliary-membership,200,Auxiliary & Alumni Membership | Mekor 3,Auxiliary &amp; Alumni Membership | Mekor Habracha,281,0,14,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/center-city,/center-city,http://localhost:3001/center-city,200,Center City + Vicinity | Mekor 3,Kosher Restaurants | Mekor Habracha,507,0,37,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/center-city-beit-midrash,/center-city-beit-midrash,http://localhost:3001/center-city-beit-midrash,200,The Center City Beit Midrash (CCBM) | Mekor 3,The Center City Beit Midrash (CCBM) | Mekor Habracha,251,0,12,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/center-city-south-philly-er,/center-city-south-philly-er,http://localhost:3001/center-city-south-philly-er,200,Center City / South Philly Eruv | Mekor 3,Mekor Habracha | Center City Synagogue | Philadelphia | Synagogue,327,0,14,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/centercity-southphillyeruvupdate-old,/centercity-southphillyeruvupdate-old,http://localhost:3001/centercity-southphillyeruvupdate-old,200,Center City / South Philly Eruv old | Mekor 3,Mekor Habracha | Center City Synagogue | Philadelphia | Synagogue,510,0,36,1,0.028,,Low copy coverage
https://www.mekorhabracha.org/cherry-hill,/cherry-hill,http://localhost:3001/cherry-hill,200,Cherry Hill | Mekor 3,Kosher Restaurants | Mekor Habracha,245,0,13,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/contact-us,/contact-us,http://localhost:3001/contact-us,200,Contact Us | Mekor 3,Contact Us | Mekor Habracha,113,0,4,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/copy-of-center-city-beit-midrash,/copy-of-center-city-beit-midrash,http://localhost:3001/copy-of-center-city-beit-midrash,200,The Center City Beit Midrash (CCBM) | Mekor 3,The Center City Beit Midrash (CCBM) | Mekor Habracha,547,0,21,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/copy-of-pesach-at-mekor,/copy-of-pesach-at-mekor,http://localhost:3001/copy-of-pesach-at-mekor,200,Shavuot at Mekor | Mekor 3,Mekor Habracha | Center City Synagogue | Philadelphia | Synagogue,298,0,24,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/davening,/davening,http://localhost:3001/davening,200,Davening | Mekor 3,Davening | Mekor Habracha,796,0,30,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/donation-thank-you-page,/donation-thank-you-page,http://localhost:3001/donation-thank-you-page,200,Thank You Page | Mekor 3,Mekor Habracha | Center City Synagogue | Philadelphia | Synagogue,86,0,3,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/donations,/donations,http://localhost:3001/donations,200,Donate | Mekor Habracha,Donate | Mekor Habracha,417,0,24,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events,/events,http://localhost:3001/events,200,Events | Mekor 3,Events | Mekor Habracha,239,0,14,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/1008,/events-1/1008,http://localhost:3001/events-1/1008,200,Purim at Mekor | Mekor 3,Purim at Mekor | Mekor Habracha,150,0,6,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/1024,/events-1/1024,http://localhost:3001/events-1/1024,200,Purim at Mekor | Mekor 3,Purim at Mekor | Mekor Habracha,154,0,6,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/1236,/events-1/1236,http://localhost:3001/events-1/1236,200,Purim at Mekor | Mekor 3,Purim at Mekor | Mekor Habracha,154,0,6,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/1600,/events-1/1600,http://localhost:3001/events-1/1600,200,Purim at Mekor | Mekor 3,Purim at Mekor | Mekor Habracha,154,0,6,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/2447,/events-1/2447,http://localhost:3001/events-1/2447,200,Purim at Mekor | Mekor 3,Purim at Mekor | Mekor Habracha,154,0,6,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/768,/events-1/768,http://localhost:3001/events-1/768,200,Purim at Mekor | Mekor 3,Purim at Mekor | Mekor Habracha,154,0,6,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/e0b7a2b2-1782-4b0f-9b31-0691f453bd36,/events-1/e0b7a2b2-1782-4b0f-9b31-0691f453bd36,http://localhost:3001/events-1/e0b7a2b2-1782-4b0f-9b31-0691f453bd36,200,Purim at Mekor | Mekor 3,Purim at Mekor | Mekor Habracha,154,0,6,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/e1e8124f-530b-4ebb-aad4-a37696ce66af,/events-1/e1e8124f-530b-4ebb-aad4-a37696ce66af,http://localhost:3001/events-1/e1e8124f-530b-4ebb-aad4-a37696ce66af,200,Purim at Mekor | Mekor 3,Purim at Mekor | Mekor Habracha,154,0,6,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/mekor-pesach-seders,/events-1/mekor-pesach-seders,http://localhost:3001/events-1/mekor-pesach-seders,200,Mekor Pesach Seders | Mekor 3,Mekor Pesach Seders | Mekor Habracha,131,0,5,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/mekor-shabbat-with-the-sachers,/events-1/mekor-shabbat-with-the-sachers,http://localhost:3001/events-1/mekor-shabbat-with-the-sachers,200,Mekor Shabbat with the Sachers | Mekor 3,Mekor Shabbat with the Sachers | Mekor Habracha,173,0,6,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/mekor-shabbat-with-the-sachers-1,/events-1/mekor-shabbat-with-the-sachers-1,http://localhost:3001/events-1/mekor-shabbat-with-the-sachers-1,200,Mekor Shabbat with the Sachers | Mekor 3,Mekor Shabbat with the Sachers | Mekor Habracha,179,0,5,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/mekor-shabbat-with-the-sachers-2,/events-1/mekor-shabbat-with-the-sachers-2,http://localhost:3001/events-1/mekor-shabbat-with-the-sachers-2,200,Mekor Shabbat with the Sachers | Mekor 3,Mekor Shabbat with the Sachers | Mekor Habracha,179,0,5,0,0.0,,Low copy coverage
https://www.mekorhabracha.org/events-1/mekors-tot-shabbat,/events-1/mekors-tot-shabbat,http://localhost:3001/events-1/mekors-tot-shabbat,200,Mekor’s Tot Shabbat | Mekor 3,Mekor’s Tot Shabbat | Mekor Habracha,127,0,5,2,0.4,,Partial copy coverage
https://www.mekorhabracha.org/events-1/pesach-at-mekor,/events-1/pesach-at-mekor,http://localhost:3001/events-1/pesach-at-mekor,200,Pesach at Mekor | Mekor 3,Pesach at Mekor | Mekor Habracha,100,0,3,0,0.0,,Low copy coverage
